연도,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,TBF
2017,최원태,넥센,4.46,25,11,7,0,0,0.611,149.3333333333,161,19,34,12,126,76,74,1.31,637
2017,유희관,두산,4.53,30,11,6,0,1,0.647,188.6666666666,228,20,41,10,106,104,95,1.43,822
2017,로치,KT,4.69,28,4,15,0,0,0.211,165,200,18,60,13,99,106,86,1.58,743
2017,문승원,SK,5.33,29,6,12,0,0,0.333,155.3333333333,181,25,54,11,86,98,92,1.51,695
2018,린드블럼,두산,2.88,26,15,4,0,0,0.789,168.6666666666,142,16,38,8,157,56,54,1.07,681
2018,윌슨,LG,3.07,26,9,4,0,0,0.692,170,158,11,35,6,149,63,58,1.14,689
2018,소사,LG,3.52,27,9,9,0,0,0.5,181.3333333333,192,16,28,4,181,83,71,1.21,760
2018,이용찬,두산,3.63,25,15,3,0,0,0.833,144,151,14,36,8,102,62,58,1.3,608
2018,후랭코프,두산,3.74,28,18,3,0,0,0.857,149.3333333333,118,12,55,22,134,64,62,1.16,621
2018,브리검,넥센,3.84,31,11,7,0,1,0.611,199,188,19,50,19,175,89,85,1.2,829
2018,켈리,SK,4.09,28,12,7,0,0,0.632,158.3333333333,152,18,47,13,161,78,72,1.26,674
2018,양현종,KIA,4.15,29,13,11,0,0,0.542,184.3333333333,199,21,43,2,152,88,85,1.31,772
2018,박종훈,SK,4.18,30,14,8,0,0,0.636,159.3333333333,158,16,54,20,133,81,74,1.33,702
2018,니퍼트,KT,4.25,29,8,8,0,0,0.5,175.6666666666,209,26,39,9,165,88,83,1.41,765
2018,피어밴드,KT,4.3,27,8,8,0,0,0.5,163.3333333333,186,24,38,6,141,90,78,1.37,707
2018,문승원,SK,4.6,31,8,9,1,1,0.471,150.6666666666,180,24,37,4,122,86,77,1.44,656
2018,헥터,KIA,4.6,29,11,10,0,0,0.524,174,209,25,36,4,137,102,89,1.41,753
2018,샘슨,한화,4.68,30,13,8,0,0,0.619,161.6666666666,144,17,79,5,195,91,84,1.38,703
2018,레일리,롯데,4.74,30,11,13,0,0,0.458,178.3333333333,180,24,54,18,178,106,94,1.31,775
2018,이재학,NC,4.79,29,5,13,0,0,0.278,152.3333333333,157,13,49,10,116,87,81,1.35,658
2018,한현희,넥센,4.79,30,11,7,0,0,0.611,169,208,22,49,20,105,98,90,1.52,756
2018,산체스,SK,4.89,29,8,8,0,1,0.5,145.3333333333,161,26,39,7,124,90,79,1.38,632
2018,아델만,삼성,5.05,31,8,12,0,0,0.4,171,202,20,54,11,137,101,96,1.5,758
2018,베렛,NC,5.28,29,6,10,0,0,0.375,155,178,24,59,9,144,94,91,1.53,698
2018,보니야,삼성,5.3,29,7,10,0,0,0.412,168,193,23,63,12,151,111,99,1.52,752
2018,금민철,KT,5.41,29,8,12,0,0,0.4,156.3333333333,212,19,68,7,79,104,94,1.79,720
2018,임찬규,LG,5.77,29,11,11,1,0,0.5,146.6666666666,195,23,47,13,125,104,94,1.65,680
2018,차우찬,LG,6.09,29,12,10,0,0,0.545,170,177,27,79,10,136,119,115,1.51,762
2018,김원중,롯데,6.94,30,8,7,0,0,0.533,145.3333333333,173,28,77,11,137,115,112,1.72,681
2019,양현종,KIA,2.29,29,16,8,0,0,0.667,184.6666666666,165,6,33,2,163,56,47,1.07,731
2019,린드블럼,두산,2.5,30,20,3,0,0,0.87,194.6666666666,165,13,29,6,189,57,54,1,773
2019,김광현,SK,2.51,31,17,6,0,0,0.739,190.3333333333,198,13,38,2,180,64,53,1.24,786
2019,켈리,LG,2.55,29,14,12,0,0,0.538,180.3333333333,164,7,41,16,126,70,51,1.14,747
2019,산체스,SK,2.62,28,17,5,0,0,0.773,165,151,2,42,2,148,51,48,1.17,671
2019,윌슨,LG,2.92,30,14,7,0,0,0.667,185,171,7,44,10,137,77,60,1.16,763
2019,브리검,키움,2.96,28,13,5,0,0,0.722,158.3333333333,148,5,46,12,130,62,52,1.23,669
2019,루친스키,NC,3.05,30,9,9,0,0,0.5,177.3333333333,164,13,45,11,119,68,60,1.18,731
2019,요키시,키움,3.13,30,13,9,0,0,0.591,181.3333333333,166,9,39,11,141,72,63,1.13,746
2019,유희관,두산,3.25,28,11,8,0,0,0.579,166.3333333333,171,8,42,3,64,67,60,1.28,692
2019,최원태,키움,3.38,27,11,5,0,0,0.688,157.3333333333,165,5,36,5,105,68,59,1.28,666
2019,채드벨,한화,3.5,29,11,10,0,0,0.524,177.3333333333,169,14,63,10,134,73,69,1.31,749
2019,서폴드,한화,3.51,31,12,11,0,0,0.522,192.3333333333,191,8,54,8,135,84,75,1.27,810
2019,쿠에바스,KT,3.62,30,13,10,0,0,0.565,184,153,18,63,12,135,80,74,1.17,760
2019,이영하,두산,3.64,29,17,4,0,0,0.81,163.3333333333,148,5,61,10,90,70,66,1.28,692
2019,문승원,SK,3.88,26,11,7,0,2,0.611,144,130,23,33,3,99,63,62,1.13,586
2019,박종훈,SK,3.88,28,8,11,0,0,0.421,144,157,12,59,13,100,72,62,1.5,643
2019,레일리,롯데,3.88,30,5,14,0,0,0.263,181,191,10,65,8,140,88,78,1.41,791
2019,알칸타라,KT,4.01,27,11,11,0,0,0.5,172.6666666666,189,15,27,8,100,80,77,1.25,724
2019,이용찬,두산,4.07,26,7,10,0,0,0.412,148.3333333333,168,15,45,6,102,75,67,1.44,651
2019,차우찬,LG,4.12,29,13,8,0,0,0.619,168.3333333333,181,16,59,5,124,87,77,1.43,730
2019,백정현,삼성,4.24,28,8,10,0,0,0.444,157,158,17,56,6,82,85,74,1.36,677
2019,다익손,롯데,4.34,29,6,10,0,0,0.375,149.3333333333,164,15,40,6,117,81,72,1.37,649
2019,윌랜드,KIA,4.75,28,8,10,0,0,0.444,165,191,17,59,5,137,95,87,1.52,726
2019,윤성환,삼성,4.77,27,8,13,0,0,0.381,145.3333333333,168,14,50,7,65,87,77,1.5,643
2019,김민,KT,4.96,27,6,12,0,0,0.333,150.6666666666,175,16,65,4,91,88,83,1.59,674
2019,터너,KIA,5.46,28,7,13,0,0,0.35,153.3333333333,179,12,58,17,121,107,93,1.55,714
2020,요키시,키움,2.14,27,12,7,0,0,0.632,159.6666666666,144,6,25,6,115,53,38,1.06,640
2020,스트레일리,롯데,2.5,31,15,4,0,0,0.789,194.6666666666,148,10,51,7,205,61,54,1.02,777
2020,브룩스,KIA,2.5,23,11,4,0,0,0.733,151.3333333333,131,4,24,3,130,43,42,1.02,586
2020,알칸타라,두산,2.54,31,20,2,0,0,0.909,198.6666666666,174,12,30,9,182,58,56,1.03,795
2020,루친스키,NC,3.05,30,19,5,0,0,0.792,183,173,14,57,11,167,67,62,1.26,770
2020,켈리,LG,3.32,28,15,7,0,0,0.682,173.3333333333,160,16,40,11,134,67,64,1.15,705
2020,뷰캐넌,삼성,3.45,27,15,7,0,0,0.682,174.6666666666,172,16,50,7,121,71,67,1.27,728
2020,최채흥,삼성,3.58,26,11,6,0,0,0.647,146,131,12,51,7,123,67,58,1.25,617
2020,문승원,SK,3.65,25,6,8,0,0,0.429,145.6666666666,136,13,45,6,117,64,59,1.24,610
2020,임찬규,LG,4.08,27,10,9,0,0,0.526,147.6666666666,143,14,65,5,138,76,67,1.41,641
2020,쿠에바스,KT,4.1,27,10,8,0,0,0.556,158,152,16,46,9,110,80,72,1.25,668
2020,데스파이네,KT,4.33,35,15,8,0,0,0.652,207.6666666666,233,18,68,8,152,105,100,1.45,906
2020,가뇽,KIA,4.34,28,11,8,0,0,0.579,159.6666666666,162,7,64,9,141,86,77,1.42,702
2020,윌슨,LG,4.42,25,10,8,0,0,0.556,144.6666666666,161,13,39,8,109,81,71,1.38,628
2020,라이트,NC,4.68,29,11,9,0,0,0.55,157.6666666666,164,12,63,10,125,87,82,1.44,696
2020,양현종,KIA,4.7,31,11,10,0,0,0.524,172.3333333333,180,13,64,5,149,99,90,1.42,746
2020,박세웅,롯데,4.7,28,8,10,0,0,0.444,147.3333333333,177,20,47,8,108,85,77,1.52,658
2020,박종훈,SK,4.81,29,13,11,0,0,0.542,157.3333333333,146,14,78,22,134,90,84,1.42,691
2020,서폴드,한화,4.91,28,10,13,0,0,0.435,165,203,19,42,13,97,107,90,1.48,734
2020,핀토,SK,6.17,30,6,15,0,0,0.286,162,198,19,90,11,112,121,111,1.78,766
